horizon,gauss_window,gauss_std,coord_mode,orb_multiplier,include_phases,max_depth,learning_rate,weight_power,sideways_penalty,n_estimators,subsample,colsample_bytree,bal_acc,f1_macro,mcc,recall_down,recall_up,recall_min,recall_gap,up_down_min,up_down_gap
1,201,50.0,geo,0.15,True,9,0.01,2.0,0.3,500,0.8,0.8,0.35825109604556515,0.3522252833778446,0.033373905613129216,0.3415841584158416,0.16666666666666666,0.16666666666666666,0.17491749174917495,0.16666666666666666,0.17491749174917495
1,101,50.0,geo,0.15,True,5,0.01,2.0,1.0,500,0.8,0.8,0.37851118047541227,0.291381024533607,0.0394866416933714,0.16417910447761194,0.5957446808510638,0.16417910447761194,0.43156557637345183,0.16417910447761194,0.43156557637345183
1,201,50.0,both,0.15,True,9,0.01,2.0,1.0,500,0.8,0.8,0.3548454291241932,0.19709679741194,0.027306107607724953,0.16336633663366337,0.8125,0.16336633663366337,0.6491336633663366,0.16336633663366337,0.6491336633663366
1,201,100.0,both,0.15,True,9,0.03,2.0,1.0,500,0.8,0.8,0.3687262577390425,0.2121058220965992,0.045049430750850904,0.16019417475728157,0.8222222222222222,0.16019417475728157,0.6620280474649406,0.16019417475728157,0.6620280474649406
1,101,50.0,geo,0.15,True,5,0.03,2.0,1.0,500,0.8,0.8,0.3784788219428717,0.29274258879522036,0.06604458124853847,0.15920398009950248,0.5957446808510638,0.15920398009950248,0.4365407007515613,0.15920398009950248,0.4365407007515613
1,201,100.0,geo,0.15,True,9,0.01,2.0,0.5,500,0.8,0.8,0.3574207582570555,0.35639884801765914,0.058086152630217,0.4563106796116505,0.15555555555555556,0.15555555555555556,0.30075512405609495,0.15555555555555556,0.30075512405609495
1,201,50.0,both,0.15,True,9,0.03,2.0,1.0,500,0.8,0.8,0.34713212700580404,0.21229470097200412,0.020573420116947575,0.15346534653465346,0.75,0.15346534653465346,0.5965346534653465,0.15346534653465346,0.5965346534653465
1,101,50.0,geo,0.15,True,5,0.01,2.0,0.5,500,0.8,0.8,0.3380812595042431,0.3254055039183525,0.024061107376562158,0.5970149253731343,0.14893617021276595,0.14893617021276595,0.4480787551603683,0.14893617021276595,0.4480787551603683
1,101,100.0,geo,0.15,True,9,0.05,2.0,0.5,500,0.8,0.8,0.3144132809392908,0.2671793940019191,-0.008140056096978186,0.1457286432160804,0.3877551020408163,0.1457286432160804,0.24202645882473592,0.1457286432160804,0.24202645882473592
1,101,50.0,both,0.15,True,5,0.03,2.0,1.0,500,0.8,0.8,0.30316984529006924,0.25330830272612476,-0.014643359504706337,0.14427860696517414,0.40425531914893614,0.14427860696517414,0.259976712183762,0.14427860696517414,0.259976712183762
1,201,50.0,geo,0.15,True,5,0.01,2.0,1.0,500,0.8,0.8,0.35282878657323863,0.27875677758511547,0.018579040961388155,0.14356435643564355,0.5208333333333334,0.14356435643564355,0.3772689768976898,0.14356435643564355,0.3772689768976898
1,101,100.0,geo,0.15,True,9,0.03,2.0,0.3,500,0.8,0.8,0.3512755414704183,0.34252052438663866,0.01821014655584612,0.2914572864321608,0.14285714285714285,0.14285714285714285,0.14860014357501794,0.14285714285714285,0.14860014357501794
1,201,100.0,geo,0.15,True,3,0.03,2.0,1.0,500,0.8,0.8,0.3419017306261371,0.2706008402356566,0.014705855443379155,0.1407766990291262,0.4888888888888889,0.1407766990291262,0.34811218985976267,0.1407766990291262,0.34811218985976267
1,101,100.0,both,0.15,True,9,0.01,2.0,1.0,500,0.8,0.8,0.32591228917109194,0.2577682500114306,0.02146191278310032,0.1407035175879397,0.5102040816326531,0.1407035175879397,0.3695005640447134,0.1407035175879397,0.3695005640447134
1,201,100.0,both,0.15,True,5,0.05,2.0,1.0,500,0.8,0.8,0.36151573086111194,0.2274493211482699,0.05360837418860869,0.13592233009708737,0.7555555555555555,0.13592233009708737,0.6196332254584682,0.13592233009708737,0.6196332254584682
1,101,50.0,both,0.15,True,9,0.05,2.0,1.0,500,0.8,0.8,0.3330653427207502,0.2008124919561982,-0.003315541865380147,0.13432835820895522,0.723404255319149,0.13432835820895522,0.5890758971101937,0.13432835820895522,0.5890758971101937
